# Chunk-averaged data for fix 55 and group vx
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number vx temp
30000 70 52599
  14 -31.5 0 0 0 0
  15 -30.5 0 0 0 0
  16 -29.5 0 0 0 0
  17 -28.5 0 0 0 0
  18 -27.5 0 0 0 0
  19 -26.5 0 0 0 0
  20 -25.5 0 0 0 0
  21 -24.5 0 0 0 0
  22 -23.5 0 0 0 0
  23 -22.5 0 0 0 0
  24 -21.5 0 0 0 0
  25 -20.5 0 0 0 0
  26 -19.5 0 0 0 0
  27 -18.5 0 0 0 0
  28 -17.5 0 0 0 0
  29 -16.5 0 0 0 0
  30 -15.5 0 0 0 0
  31 -14.5 0 0 0 0
  32 -13.5 0 0 0 0
  33 -12.5 0 0 0 0
  34 -11.5 0 0 0 0
  35 -10.5 0 0 0 0
  36 -9.5 0 0 0 0
  37 -8.5 0 0 0 0
  38 -7.5 0 0 0 0
  39 -6.5 0 0 0 0
  40 -5.5 0 0 0 0
  41 -4.5 0 0 0 0
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0 0 0 0
  46 0.5 0 0 0 0
  47 1.5 1.6 1.9025e-05 0.122564 1419.58
  48 2.5 1678.46 0.0199579 0.198166 1155.3
  49 3.5 3073 0.0365398 0.227205 1154.18
  50 4.5 1974.62 0.0234794 0.305305 1152.61
  51 5.5 2349.92 0.027942 0.339834 1145.78
  52 6.5 2464.78 0.0293077 0.322601 1142.94
  53 7.5 2276.2 0.0270654 0.291662 1136.2
  54 8.5 2375.68 0.0282483 0.3425 1137.61
  55 9.5 2368.82 0.0281667 0.33018 1130.78
  56 10.5 2352.72 0.0279753 0.362704 1134.59
  57 11.5 2374.62 0.0282357 0.31613 1130.33
  58 12.5 2370.3 0.0281843 0.348443 1132.01
  59 13.5 2369.46 0.0281743 0.395583 1127.8
  60 14.5 2369.9 0.0281795 0.329 1130.42
  61 15.5 2370.28 0.0281841 0.35507 1134.07
  62 16.5 2350.84 0.0279529 0.298578 1138.65
  63 17.5 2393.88 0.0284647 0.28598 1137.03
  64 18.5 2319.78 0.0275836 0.321198 1141.33
  65 19.5 2319.2 0.0275767 0.296975 1139.27
  66 20.5 2556.36 0.0303967 0.2871 1150.88
  67 21.5 2015.26 0.0239627 0.2164 1150.84
  68 22.5 2310.74 0.0274761 0.207826 1155.49
  69 23.5 3298.62 0.0392226 0.212275 1159.33
  70 24.5 263.96 0.00313864 0.0918782 1185.77
65000 70 52599
  1 -44.5 0 0 0 0
  2 -43.5 0 0 0 0
  3 -42.5 0 0 0 0
  4 -41.5 0 0 0 0
  5 -40.5 0 0 0 0
  6 -39.5 0 0 0 0
  7 -38.5 0 0 0 0
  8 -37.5 0 0 0 0
  9 -36.5 0 0 0 0
  10 -35.5 0 0 0 0
  11 -34.5 0 0 0 0
  12 -33.5 0 0 0 0
  13 -32.5 0 0 0 0
  14 -31.5 0 0 0 0
  15 -30.5 0 0 0 0
  16 -29.5 0 0 0 0
  17 -28.5 0 0 0 0
  18 -27.5 0 0 0 0
  19 -26.5 0 0 0 0
  20 -25.5 0 0 0 0
  21 -24.5 0 0 0 0
  22 -23.5 0 0 0 0
  23 -22.5 0 0 0 0
  24 -21.5 0 0 0 0
  25 -20.5 0 0 0 0
  26 -19.5 0 0 0 0
  27 -18.5 0 0 0 0
  28 -17.5 0 0 0 0
  29 -16.5 0 0 0 0
  30 -15.5 0 0 0 0
  31 -14.5 0 0 0 0
  32 -13.5 0 0 0 0
  33 -12.5 0 0 0 0
  34 -11.5 0 0 0 0
  35 -10.5 0 0 0 0
  36 -9.5 0 0 0 0
  37 -8.5 0 0 0 0
  38 -7.5 0 0 0 0
  39 -6.5 0 0 0 0
  40 -5.5 0 0 0 0
  41 -4.5 0 0 0 0
  42 -3.5 0 0 0 0
  43 -2.5 0 0 0 0
  44 -1.5 0 0 0 0
  45 -0.5 0.24 2.85375e-06 0.148721 1126.02
  46 0.5 0.06 7.13436e-07 -4.15656 1035.91
  47 1.5 5.42 6.44471e-05 0.0950979 1319.54
  48 2.5 1955.88 0.0232566 0.212987 1310.4
  49 3.5 2978.68 0.0354183 0.215542 1306.24
  50 4.5 1935.66 0.0230162 0.207021 1303.01
  51 5.5 2388.9 0.0284055 0.192106 1300.37
  52 6.5 2433.38 0.0289344 0.289507 1298.66
  53 7.5 2264.94 0.0269315 0.257015 1286.13
  54 8.5 2370.46 0.0281862 0.204462 1284.52
  55 9.5 2364.2 0.0281118 0.234956 1286.32
  56 10.5 2334.14 0.0277543 0.2335 1282.34
  57 11.5 2358.68 0.0280461 0.291556 1287.16
  58 12.5 2365.2 0.0281237 0.269521 1285.75
  59 13.5 2350.66 0.0279508 0.263496 1284.71
  60 14.5 2354.78 0.0279998 0.296441 1278.66
  61 15.5 2353.02 0.0279788 0.291971 1290.01
  62 16.5 2334.32 0.0277565 0.290354 1290.07
  63 17.5 2382.2 0.0283258 0.313771 1284.63
  64 18.5 2307.34 0.0274357 0.29145 1290.06
  65 19.5 2308.12 0.0274449 0.286122 1297.19
  66 20.5 2540.06 0.0302029 0.277566 1295.58
  67 21.5 2024.64 0.0240742 0.283429 1298.28
  68 22.5 2284.72 0.0271667 0.238099 1305.55
  69 23.5 3338.38 0.0396954 0.208654 1307.96
  70 24.5 264.92 0.00315006 0.33278 1299.82
70000 70 52599
